"title","body","labels","milestone","owner","status"
"Define feed contracts (pandera schemas)","Sales, items, stores, weather, events, promotions, search. Acceptance: invalid rows quarantined with a reason.","data,must","M1 Design","member-a","done"
"Synthetic world generator with known effects","Weather, festival, promo, search-lead, price effects; censoring through a historical inventory policy; injected DQ defects.","data,must","M2 Data","member-a","done"
"Open-Meteo loader with cache and climatology fallback","Provenance recorded in manifest.","data,should","M2 Data","member-a","done"
"Ingestion + quarantine + manifest hashes","Stockout flag derived; SHA-256 per file.","data,must","M2 Data","member-a","done"
"Point-in-time feature builder","Asserts on origin reads; weather as horizon-scaled forecast; median search features.","features,must","M3 Models","member-a","done"
"Leakage test suite","Scramble-the-future probe; target-not-a-feature; block separation.","test,must","M3 Models","member-a","done"
"Baselines B0 and B1","Seasonal naive; smoothed level x weekday index with NB intervals.","model,must","M3 Models","member-a","done"
"LightGBM M1 (sales only) and M2 (multisource)","Tweedie point + quantile heads; MLflow logging.","model,must","M3 Models","member-a","done"
"Intermittent routing (Croston/SBA/TSB)","ADI/CV2 classes; choose per class on calibration block.","model,should","M4 Innovation","member-a","done"
"Cold-start module","Analog items vs category mean vs global model; chosen on calibration block.","model,should","M4 Innovation","member-a","done"
"Conformal calibration (CQR)","Per horizon bucket x demand class.","model,must","M4 Innovation","member-a","done"
"Hierarchical reconciliation","Aggregate model; bottom-up, WLS and MinT-shrink; coherence check.","model,must","M4 Innovation","member-a","done"
"Inventory simulator P0/P1/P2","Lost sales, lead time, Monte Carlo demand paths from ground truth; INR cost.","decision,must","M4 Innovation","member-b","done"
"Production order suggestions","Order-up-to from calibrated quantiles for the latest origin.","decision,must","M4 Innovation","member-b","done"
"FastAPI service","Forecast, orders, decisions, audit, evaluation, monitoring endpoints; OpenAPI export.","api,must","M5 Product","member-b","done"
"Append-only audit log","SQLite triggers; reason codes; override guard.","api,security,must","M5 Product","member-b","done"
"Auth hook + RBAC","Header mode for a trusted gateway; store-scoped access; analyst read-only.","security,must","M5 Product","member-b","done"
"Rate limiting, payload cap, CSV escaping","Threat-model controls.","security,should","M5 Product","member-b","done"
"Streamlit dashboard","Overview, forecasts with drivers, orders workflow, simulation, monitoring, audit.","ui,must","M5 Product","member-b","done"
"Monitoring: PSI, weekly WAPE, store bias, freshness","Drift and accuracy report from sensecast monitor.","ops,should","M6 Ops","member-b","done"
"Fault suite","Weather outage, search spike, unmasked stockouts, store drop, dirty feed.","test,should","M6 Ops","member-a","done"
"Dockerfile + compose","Pipeline / API / dashboard / optional MLflow.","ops,must","M6 Ops","member-b","done"
"CI pipeline","Lint, tests, smoke run, pip-audit, gitleaks, docker build.","ops,must","M6 Ops","member-b","done"
"Load test","p95 latency gate.","ops,should","M6 Ops","member-b","done"
"Evaluation dossier + model card","Generated results + narrative + limitations.","docs,must","M7 Release","member-a","done"
"User and admin guides","Planner user guide and admin guide in docs/guides.","docs,must","M7 Release","member-b","done"
"Stakeholder interviews (3) in problem brief","Interview 3 store owners / managers / planners. Add who, date, key pains and quotes to docs/01-brief/problem_brief.md.","docs,must","M8 Submission","both","todo"
"Confirm 2-member team with project guide","Get written confirmation (email) that the team is Balkrishna and Chaitanya.","docs,must","M8 Submission","member-a","todo"
"Work log: Balkrishna","Fill docs/worklogs/member-a.md with dated entries; submit through a PR.","docs,must","M8 Submission","member-a","todo"
"Work log: Chaitanya","Fill docs/worklogs/member-b.md with dated entries; submit through a PR.","docs,must","M8 Submission","member-b","todo"
"Run docker compose locally","docker compose up --build on a laptop; add a screenshot to docs/03-evaluation/run/.","ops,should","M8 Submission","member-b","todo"
"Record demo video","Follow docs/demo_script.md; 5 to 7 minutes; link it in the README.","docs,must","M8 Submission","both","todo"
"Final report in college format","Compile brief, design, evaluation and model card into the college report template.","docs,must","M8 Submission","both","todo"
"Presentation slides for viva","Problem, design, results, demo, limitations; practise with docs/viva_prep.md.","docs,must","M8 Submission","both","todo"
